"Country","Rep_date","Count","yrqtr","yrmon"
"Argentina",2023-06-30,20,2023 Q2,Jun 2023
"Argentina",2023-07-31,20,2023 Q3,Jul 2023
"Argentina",2023-08-31,20,2023 Q3,Aug 2023
"Argentina",2023-09-30,20,2023 Q3,Sep 2023
"Argentina",2023-10-31,19,2023 Q4,Oct 2023
"Argentina",2023-11-30,19,2023 Q4,Nov 2023
"Argentina",2023-12-31,19,2023 Q4,Dec 2023
"Argentina",2024-01-31,19,2024 Q1,Jan 2024
"Argentina",2024-02-29,19,2024 Q1,Feb 2024
"Argentina",2024-03-31,19,2024 Q1,Mar 2024
"Argentina",2024-04-30,19,2024 Q2,Apr 2024
"Argentina",2024-05-31,19,2024 Q2,May 2024
"Argentina",2024-06-30,19,2024 Q2,Jun 2024
"Argentina",2024-07-31,19,2024 Q3,Jul 2024
"Argentina",2024-08-31,19,2024 Q3,Aug 2024
"Argentina",2024-09-30,19,2024 Q3,Sep 2024
"Argentina",2024-10-31,19,2024 Q4,Oct 2024
"Argentina",2024-11-30,19,2024 Q4,Nov 2024
"Armenia",2022-04-30,4,2022 Q2,Apr 2022
"Armenia",2022-05-31,4,2022 Q2,May 2022
"Armenia",2022-06-30,4,2022 Q2,Jun 2022
"Armenia",2022-07-31,4,2022 Q3,Jul 2022
"Armenia",2022-08-31,4,2022 Q3,Aug 2022
"Armenia",2022-09-30,5,2022 Q3,Sep 2022
"Armenia",2022-10-31,5,2022 Q4,Oct 2022
"Armenia",2022-11-30,7,2022 Q4,Nov 2022
"Armenia",2022-12-31,7,2022 Q4,Dec 2022
"Armenia",2023-01-31,7,2023 Q1,Jan 2023
"Armenia",2023-02-28,7,2023 Q1,Feb 2023
"Armenia",2023-03-31,7,2023 Q1,Mar 2023
"Armenia",2023-04-30,7,2023 Q2,Apr 2023
"Armenia",2023-05-31,7,2023 Q2,May 2023
"Armenia",2023-06-30,7,2023 Q2,Jun 2023
"Armenia",2023-07-31,7,2023 Q3,Jul 2023
"Armenia",2023-08-31,7,2023 Q3,Aug 2023
"Armenia",2023-09-30,7,2023 Q3,Sep 2023
"Armenia",2023-10-31,7,2023 Q4,Oct 2023
"Armenia",2023-11-30,7,2023 Q4,Nov 2023
"Armenia",2023-12-31,7,2023 Q4,Dec 2023
"Armenia",2024-01-31,7,2024 Q1,Jan 2024
"Armenia",2024-02-29,7,2024 Q1,Feb 2024
"Armenia",2024-03-31,7,2024 Q1,Mar 2024
"Armenia",2024-04-30,7,2024 Q2,Apr 2024
"Armenia",2024-05-31,7,2024 Q2,May 2024
"Armenia",2024-06-30,7,2024 Q2,Jun 2024
"Armenia",2024-07-31,7,2024 Q3,Jul 2024
"Armenia",2024-08-31,7,2024 Q3,Aug 2024
"Armenia",2024-09-30,7,2024 Q3,Sep 2024
"Armenia",2024-10-31,7,2024 Q4,Oct 2024
"Armenia",2024-11-30,7,2024 Q4,Nov 2024
"Aruba",2022-04-30,1,2022 Q2,Apr 2022
"Aruba",2022-05-31,1,2022 Q2,May 2022
"Aruba",2022-06-30,1,2022 Q2,Jun 2022
"Aruba",2022-07-31,1,2022 Q3,Jul 2022
"Aruba",2022-08-31,1,2022 Q3,Aug 2022
"Aruba",2022-09-30,1,2022 Q3,Sep 2022
"Aruba",2022-10-31,1,2022 Q4,Oct 2022
"Aruba",2022-11-30,1,2022 Q4,Nov 2022
"Aruba",2022-12-31,1,2022 Q4,Dec 2022
"Aruba",2023-01-31,1,2023 Q1,Jan 2023
"Aruba",2023-02-28,1,2023 Q1,Feb 2023
"Aruba",2023-03-31,1,2023 Q1,Mar 2023
"Aruba",2023-04-30,1,2023 Q2,Apr 2023
"Aruba",2023-05-31,1,2023 Q2,May 2023
"Aruba",2023-06-30,1,2023 Q2,Jun 2023
"Aruba",2023-07-31,1,2023 Q3,Jul 2023
"Aruba",2023-08-31,1,2023 Q3,Aug 2023
"Aruba",2023-09-30,1,2023 Q3,Sep 2023
"Aruba",2023-10-31,1,2023 Q4,Oct 2023
"Aruba",2023-11-30,1,2023 Q4,Nov 2023
"Aruba",2023-12-31,1,2023 Q4,Dec 2023
"Aruba",2024-01-31,1,2024 Q1,Jan 2024
"Aruba",2024-02-29,1,2024 Q1,Feb 2024
"Aruba",2024-03-31,1,2024 Q1,Mar 2024
"Aruba",2024-04-30,1,2024 Q2,Apr 2024
"Aruba",2024-05-31,1,2024 Q2,May 2024
"Aruba",2024-06-30,1,2024 Q2,Jun 2024
"Aruba",2024-07-31,1,2024 Q3,Jul 2024
"Aruba",2024-08-31,1,2024 Q3,Aug 2024
"Aruba",2024-09-30,1,2024 Q3,Sep 2024
"Aruba",2024-10-31,1,2024 Q4,Oct 2024
"Aruba",2024-11-30,1,2024 Q4,Nov 2024
"Australia",2022-04-30,5,2022 Q2,Apr 2022
"Australia",2022-05-31,5,2022 Q2,May 2022
"Australia",2022-06-30,5,2022 Q2,Jun 2022
"Australia",2022-07-31,5,2022 Q3,Jul 2022
"Australia",2022-08-31,5,2022 Q3,Aug 2022
"Australia",2022-09-30,5,2022 Q3,Sep 2022
"Australia",2022-10-31,5,2022 Q4,Oct 2022
"Australia",2022-11-30,5,2022 Q4,Nov 2022
"Australia",2022-12-31,5,2022 Q4,Dec 2022
"Australia",2023-01-31,5,2023 Q1,Jan 2023
"Australia",2023-02-28,5,2023 Q1,Feb 2023
"Australia",2023-03-31,5,2023 Q1,Mar 2023
"Australia",2023-04-30,5,2023 Q2,Apr 2023
"Australia",2023-05-31,5,2023 Q2,May 2023
"Australia",2023-06-30,5,2023 Q2,Jun 2023
"Australia",2023-07-31,5,2023 Q3,Jul 2023
"Australia",2023-08-31,5,2023 Q3,Aug 2023
"Australia",2023-09-30,5,2023 Q3,Sep 2023
"Australia",2023-10-31,5,2023 Q4,Oct 2023
"Australia",2023-11-30,5,2023 Q4,Nov 2023
"Australia",2023-12-31,5,2023 Q4,Dec 2023
"Australia",2024-01-31,5,2024 Q1,Jan 2024
"Australia",2024-02-29,5,2024 Q1,Feb 2024
"Australia",2024-03-31,5,2024 Q1,Mar 2024
"Australia",2024-04-30,5,2024 Q2,Apr 2024
"Australia",2024-05-31,5,2024 Q2,May 2024
"Australia",2024-06-30,5,2024 Q2,Jun 2024
"Australia",2024-07-31,5,2024 Q3,Jul 2024
"Australia",2024-08-31,5,2024 Q3,Aug 2024
"Australia",2024-09-30,5,2024 Q3,Sep 2024
"Australia",2024-10-31,5,2024 Q4,Oct 2024
"Australia",2024-11-30,5,2024 Q4,Nov 2024
"Austria",2022-04-30,9,2022 Q2,Apr 2022
"Austria",2022-05-31,9,2022 Q2,May 2022
"Austria",2022-06-30,9,2022 Q2,Jun 2022
